question_id,hops,hits_at_1,f1,proved
mq1_0,1,True,1.0,True
mq1_1,1,True,1.0,True
mq1_2,1,True,1.0,True
mq1_3,1,True,1.0,True
mq1_4,1,True,1.0,True
mq1_5,1,True,1.0,True
mq1_6,1,True,1.0,True
mq1_7,1,True,1.0,True
mq1_8,1,True,1.0,True
mq1_9,1,True,1.0,True
mq1_10,1,True,1.0,True
mq1_11,1,True,1.0,True
mq1_12,1,True,1.0,True
mq1_13,1,True,1.0,True
mq1_14,1,True,1.0,True
mq1_15,1,True,1.0,True
mq1_16,1,True,1.0,True
mq1_17,1,True,1.0,True
mq1_18,1,True,1.0,True
mq1_19,1,True,1.0,True
mq1_20,1,False,0.0,False
mq1_21,1,True,1.0,True
mq1_22,1,True,1.0,True
mq1_23,1,True,1.0,True
mq1_24,1,True,1.0,True
mq1_25,1,True,1.0,True
mq1_26,1,True,1.0,True
mq1_27,1,True,1.0,True
mq1_28,1,True,1.0,True
mq1_29,1,True,1.0,True
mq1_30,1,True,1.0,True
mq1_31,1,True,1.0,True
mq1_32,1,True,1.0,True
mq1_33,1,True,1.0,True
mq1_34,1,True,1.0,True
mq1_35,1,True,1.0,True
mq1_36,1,True,1.0,True
mq1_37,1,True,1.0,True
mq1_38,1,True,1.0,True
mq1_39,1,False,0.0,False
mq1_40,1,True,1.0,True
mq1_41,1,True,1.0,True
mq1_42,1,True,1.0,True
mq1_43,1,True,1.0,True
mq1_44,1,True,1.0,True
mq1_45,1,True,1.0,True
mq1_46,1,True,1.0,True
mq1_47,1,True,1.0,True
mq1_48,1,True,1.0,True
mq1_49,1,True,1.0,True
mq1_50,1,True,1.0,True
mq1_51,1,True,1.0,True
mq1_52,1,True,1.0,True
mq1_53,1,False,0.0,False
mq1_54,1,True,1.0,True
mq1_55,1,True,1.0,True
mq1_56,1,True,1.0,True
mq1_57,1,True,1.0,True
mq1_58,1,True,1.0,True
mq1_59,1,True,1.0,True
mq1_60,1,True,1.0,True
mq1_61,1,True,1.0,True
mq1_62,1,False,0.0,False
mq1_63,1,True,1.0,True
mq1_64,1,True,1.0,True
mq1_65,1,True,1.0,True
mq1_66,1,True,1.0,True
mq1_67,1,True,1.0,True
mq1_68,1,True,1.0,True
mq1_69,1,True,1.0,True
mq1_70,1,True,1.0,True
mq1_71,1,True,1.0,True
mq1_72,1,True,1.0,True
mq1_73,1,True,1.0,True
mq1_74,1,True,1.0,True
mq1_75,1,True,1.0,True
mq1_76,1,True,1.0,True
mq1_77,1,False,0.0,False
mq1_78,1,True,1.0,True
mq1_79,1,True,1.0,True
mq1_80,1,True,1.0,True
mq1_81,1,True,1.0,True
mq1_82,1,True,1.0,True
mq1_83,1,False,0.0,False
mq1_84,1,True,1.0,True
mq1_85,1,True,1.0,True
mq1_86,1,True,1.0,True
mq1_87,1,True,1.0,True
mq1_88,1,True,1.0,True
mq1_89,1,True,1.0,True
mq1_90,1,True,1.0,True
mq1_91,1,True,1.0,True
mq1_92,1,True,1.0,True
mq1_93,1,True,1.0,True
mq1_94,1,True,1.0,True
mq1_95,1,True,1.0,True
mq1_96,1,True,1.0,True
mq1_97,1,True,1.0,True
mq1_98,1,True,1.0,True
mq1_99,1,True,1.0,True
mq1_100,1,False,0.0,False
mq1_101,1,True,1.0,True
mq1_102,1,True,1.0,True
mq1_103,1,True,1.0,True
mq1_104,1,True,1.0,True
mq1_105,1,False,0.0,False
mq1_106,1,True,1.0,True
mq1_107,1,True,1.0,True
mq1_108,1,True,1.0,True
mq1_109,1,True,1.0,True
mq1_110,1,True,1.0,True
mq1_111,1,False,0.0,False
mq1_112,1,True,1.0,True
mq1_113,1,True,1.0,True
mq1_114,1,False,0.0,False
mq1_115,1,True,1.0,True
mq1_116,1,True,1.0,True
mq1_117,1,True,1.0,True
mq1_118,1,True,1.0,True
mq1_119,1,True,1.0,True
mq1_120,1,True,1.0,True
mq1_121,1,True,1.0,True
mq1_122,1,True,1.0,True
mq1_123,1,True,1.0,True
mq1_124,1,True,1.0,True
mq1_125,1,True,1.0,True
mq1_126,1,True,1.0,True
mq1_127,1,True,1.0,True
mq1_128,1,True,1.0,True
mq1_129,1,False,0.0,False
mq1_130,1,True,1.0,True
mq1_131,1,True,1.0,True
mq1_132,1,True,1.0,True
mq1_133,1,True,1.0,True
mq1_134,1,True,1.0,True
mq1_135,1,False,0.0,False
mq1_136,1,False,0.0,False
mq1_137,1,True,1.0,True
mq1_138,1,True,1.0,True
mq1_139,1,True,1.0,True
mq1_140,1,True,1.0,True
mq1_141,1,True,1.0,True
mq1_142,1,True,1.0,True
mq1_143,1,False,0.0,False
mq1_144,1,True,1.0,True
mq1_145,1,True,1.0,True
mq1_146,1,True,1.0,True
mq1_147,1,True,1.0,True
mq1_148,1,True,1.0,True
mq1_149,1,False,0.0,False
mq2_0,2,True,1.0,True
mq2_1,2,True,1.0,True
mq2_2,2,True,1.0,True
mq2_3,2,True,1.0,True
mq2_4,2,True,1.0,True
mq2_5,2,False,0.0,False
mq2_6,2,True,1.0,True
mq2_7,2,False,0.0,False
